Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Ejected,Sabotages Fixed,Game Length (s),Task Time (s),is_imposter
1,3.0,0,1.0,0.0,0.0,2.0,424,0.0,0
0,7.0,1,0.0,0.0,0.0,1.0,981,588.0,0
1,3.0,0,0.0,0.0,0.0,0.0,693,0.0,0
1,0.0,0,0.0,2.0,0.0,0.0,485,0.0,1
0,4.0,0,0.0,0.0,0.0,0.0,310,0.0,0
0,7.0,1,1.0,0.0,0.0,0.0,982,736.0,0
0,8.0,1,1.0,0.0,0.0,1.0,1301,1118.0,0
1,8.0,1,0.0,0.0,1.0,0.0,1123,468.0,0
1,7.0,1,1.0,0.0,0.0,0.0,795,795.0,0
0,7.0,1,1.0,0.0,0.0,0.0,763,763.0,0
1,4.0,0,1.0,0.0,0.0,0.0,660,0.0,0
1,7.0,1,0.0,0.0,0.0,0.0,1063,719.0,0
0,6.0,0,1.0,0.0,0.0,0.0,826,0.0,0
0,0.0,0,0.0,3.0,1.0,0.0,952,0.0,1
1,7.0,1,1.0,0.0,0.0,1.0,1134,669.0,0
0,7.0,1,1.0,0.0,0.0,0.0,480,101.0,0
1,7.0,1,1.0,0.0,0.0,0.0,1086,574.0,0
1,7.0,1,1.0,0.0,0.0,1.0,778,543.0,0
1,7.0,1,1.0,0.0,0.0,0.0,897,890.0,0
0,7.0,1,1.0,0.0,0.0,0.0,663,634.0,0
0,2.0,0,1.0,0.0,0.0,0.0,883,0.0,0
0,3.0,0,1.0,0.0,0.0,1.0,514,0.0,0
0,8.0,1,0.0,0.0,0.0,0.0,332,332.0,0
1,8.0,1,1.0,0.0,0.0,0.0,1004,885.0,0
0,8.0,1,1.0,0.0,0.0,1.0,551,509.0,0
0,8.0,1,1.0,0.0,0.0,0.0,890,356.0,0
0,8.0,1,1.0,0.0,0.0,0.0,1069,1032.0,0
0,0.0,0,0.0,2.0,0.0,0.0,1081,0.0,1
1,8.0,1,1.0,0.0,0.0,1.0,710,360.0,0
1,5.0,1,0.0,0.0,0.0,2.0,566,496.0,0
1,1.0,0,0.0,0.0,0.0,1.0,188,0.0,0
0,0.0,0,0.0,1.0,1.0,0.0,155,0.0,1
1,1.0,0,0.0,0.0,0.0,0.0,147,0.0,0
1,3.0,0,0.0,0.0,0.0,1.0,293,0.0,0
1,1.0,0,1.0,0.0,0.0,0.0,324,0.0,0
0,0.0,0,0.0,2.0,0.0,0.0,1179,0.0,1
0,2.0,0,1.0,0.0,0.0,0.0,619,0.0,0
1,0.0,0,0.0,5.0,0.0,0.0,763,0.0,1
1,8.0,1,0.0,0.0,0.0,1.0,841,568.0,0
1,0.0,0,0.0,1.0,0.0,0.0,950,0.0,1
1,3.0,0,0.0,0.0,0.0,0.0,778,0.0,0
